"Run Fondo";"Serie";"fecha";"Tipo de Rentabilidad";"Rentabilidad"
"8263";APV;2023-05-14;"1Y";-2.84%
"8263";APV;2023-05-14;YTD;-0.81%
"8263";APV;2023-05-15;"1M";-1.69%
"8263";APV;2023-05-15;"3M";-0.79%
"8263";APV;2023-05-15;"6M";-1.32%
"8263";APV;2023-05-15;"1Y";-3.03%
"8263";APV;2023-05-15;YTD;-1.00%
"8263";APV;2023-05-16;"1M";-1.74%
"8263";APV;2023-05-16;"3M";-0.83%
"8263";APV;2023-05-16;"6M";-1.46%
"8263";APV;2023-05-16;"1Y";-3.15%
"8263";APV;2023-05-16;YTD;-1.04%
"8263";APV;2023-05-17;"1M";-1.46%
"8263";APV;2023-05-17;"3M";-0.86%
"8263";APV;2023-05-17;"6M";-1.21%
"8263";APV;2023-05-17;"1Y";-3.17%
"8263";APV;2023-05-17;YTD;-0.97%
"8263";APV;2023-05-18;"1M";-1.43%
"8263";APV;2023-05-18;"3M";-0.92%
"8263";APV;2023-05-18;"6M";-1.23%
"8263";APV;2023-05-18;"1Y";-3.21%
"8263";APV;2023-05-18;YTD;-1.02%
"8263";APV;2023-05-19;"1M";-1.30%
"8263";APV;2023-05-19;"3M";-1.01%
"8263";APV;2023-05-19;"6M";-1.32%
"8263";APV;2023-05-19;"1Y";-3.44%
"8263";APV;2023-05-19;YTD;-1.10%
"8263";APV;2023-05-20;"1M";-1.17%
"8263";APV;2023-05-20;"3M";-1.06%
"8263";APV;2023-05-20;"6M";-1.32%
"8263";APV;2023-05-20;"1Y";-3.46%
"8263";APV;2023-05-20;YTD;-1.09%
"8263";APV;2023-05-21;"1M";-1.08%
"8263";APV;2023-05-21;"3M";-0.98%
"8263";APV;2023-05-21;"6M";-1.45%
"8263";APV;2023-05-21;"1Y";-3.45%
"8263";APV;2023-05-21;YTD;-1.08%
"8263";APV;2023-05-22;"1M";-1.18%
"8263";APV;2023-05-22;"3M";-1.06%
"8263";APV;2023-05-22;"6M";-1.59%
